Product,Age,Gender,MaritalStatus,Income,Usage,Fitness,Education,Usage,Miles,TM195,TM498,TM798,,Female,Male,,Partnered,Single,,Income,Miles,,Fitness1,Fitness2,Fitness3,Fitness4,Fitness5
TM195,23,Male,Partnered,38658,3,1,16,3,47,94,85,,,85,127,,47,94,,38658,47,,47,66,66,113,188
TM195,22,Female,Partnered,35247,3,2,14,3,66,47,212,100,,66,85,,66,94,,35247,66,,,47,75,132,180
TM195,23,Female,Partnered,34110,2,2,15,2,38,66,42,100,,75,141,,38,75,,34110,38,,,47,85,141,280
TM195,25,Female,Partnered,53439,2,2,14,2,47,141,85,200,,113,75,,47,113,,53439,47,,,66,75,132,200
TM195,25,Female,Partnered,40932,2,2,16,2,47,85,127,120,,94,113,,47,66,,40932,47,,,38,85,106,80
TM195,27,Female,Partnered,45480,3,2,14,3,66,75,64,100,,75,47,,66,95,,45480,66,,,47,113,170,120
TM195,29,Female,Partnered,46617,2,2,14,2,38,38,42,160,,66,132,,38,42,,46617,38,,,74,56,85,240
TM195,46,Female,Partnered,60261,3,2,16,3,47,47,53,180,,56,141,,47,64,,60261,47,,,53,56,160,170
TM195,20,Male,Partnered,35247,4,2,13,4,47,103,85,,,106,85,,47,169,,35247,47,,,47,56,100,300
TM195,24,Male,Partnered,42069,3,2,13,3,47,85,64,,,64,42,,47,53,,42069,47,,,47,94,160,150
TM195,26,Male,Partnered,53439,2,2,16,2,47,94,85,,,85,170,,47,106,,53439,47,,,42,85,113,260
TM195,31,Male,Partnered,54576,2,2,14,2,47,113,95,,,64,53,,47,127,,54576,47,,,53,94,75,360
TM195,31,Female,Single,45480,2,2,14,2,47,,,,,,,,,,,45480,47,,,66,106,141,120
TM195,33,Female,Single,55713,2,2,16,2,38,,,,,,,,,,,55713,38,,,53,85,113,200
TM195,34,Female,Single,52302,2,2,16,2,66,,,,,,,,,,,52302,66,,,85,95,106,140
TM195,19,Female,Partnered,30699,4,3,14,4,66,112,64,106,,66,112,,66,75,,30699,66,,,,85,,150
TM195,20,Female,Partnered,32973,3,3,14,3,66,75,53,120,,66,75,,66,75,,32973,66,,,,85,,200
TM195,21,Female,Partnered,35247,3,3,14,3,75,66,106,200,,75,85,,75,103,,35247,75,,,,75,,160
TM195,21,Female,Partnered,37521,2,3,15,2,85,85,95,140,,85,47,,85,113,,37521,85,,,,94,,
TM195,25,Female,Partnered,48891,3,3,14,3,75,85,95,80,,103,47,,75,47,,48891,75,,,,56,,
TM195,25,Female,Partnered,39795,3,3,14,3,85,85,95,160,,38,94,,85,38,,39795,85,,,,85,,
TM195,26,Female,Partnered,52302,4,3,16,4,113,75,53,200,,75,113,,113,75,,52302,113,,,,85,,
TM195,27,Female,Partnered,45480,2,3,14,2,56,47,85,180,,47,56,,56,53,,45480,56,,,,85,,
TM195,28,Female,Partnered,46617,2,3,14,2,56,75,106,240,,85,113,,56,85,,46617,56,,,,85,,
TM195,28,Female,Partnered,52302,2,3,16,2,66,103,106,170,,47,85,,66,106,,52302,66,,,,75,,
TM195,28,Female,Partnered,54576,3,3,14,3,94,94,85,100,,113,47,,94,127,,54576,94,,,,75,,
TM195,28,Female,Partnered,51165,3,3,16,3,56,113,127,180,,113,85,,56,64,,51165,56,,,,66,,
TM195,29,Female,Partnered,50028,4,3,16,4,94,113,106,100,,66,85,,94,127,,50028,94,,,,103,,
TM195,33,Female,Partnered,46617,3,3,16,3,85,94,95,100,,56,85,,85,74,,46617,85,,,,66,,
TM195,35,Female,Partnered,60261,3,3,16,3,94,94,64,180,,56,103,,94,106,,60261,94,,,,94,,
TM195,37,Female,Partnered,37521,3,3,16,3,85,188,170,180,,66,113,,85,21,,37521,85,,,,95,,
TM195,38,Female,Partnered,54576,2,3,14,2,56,113,106,150,,94,85,,56,74,,54576,56,,,,85,,
TM195,50,Female,Partnered,64809,3,3,16,3,66,75,42,300,,38,85,,66,85,,64809,66,,,,127,,
TM195,23,Male,Partnered,40932,3,3,16,3,75,113,53,,,127,64,,75,56,,40932,75,,,,75,,
TM195,23,Male,Partnered,39795,4,3,16,4,94,56,53,,,106,106,,94,64,,39795,94,,,,103,,
TM195,25,Male,Partnered,45480,2,3,14,2,56,38,95,,,42,95,,56,95,,45480,56,,,,113,,
TM195,26,Male,Partnered,51165,3,3,16,3,85,141,85,,,127,106,,85,95,,51165,85,,,,94,,
TM195,29,Male,Partnered,68220,3,3,18,3,85,47,85,,,74,127,,85,106,,68220,85,,,,75,,
TM195,32,Male,Partnered,52302,4,3,14,4,85,85,42,,,21,95,,85,85,,52302,85,,,,66,,
TM195,35,Male,Partnered,48891,4,3,16,4,85,38,64,,,85,127,,85,106,,48891,85,,,,85,,
TM195,38,Male,Partnered,46617,3,3,16,3,75,85,,,,95,95,,75,120,,46617,75,,,,95,,
TM195,38,Male,Partnered,56850,3,3,16,3,75,169,,,,74,170,,75,200,,56850,75,,,,106,,
TM195,40,Male,Partnered,61398,3,3,16,3,66,85,,,,53,85,,66,100,,61398,66,,,,64,,
TM195,41,Male,Partnered,54576,4,3,16,4,103,94,,,,64,85,,103,100,,54576,103,,,,74,,
TM195,43,Male,Partnered,53439,3,3,16,3,66,85,,,,85,53,,66,160,,53439,66,,,,106,,
TM195,47,Male,Partnered,56850,4,3,16,4,94,94,,,,85,95,,94,100,,56850,94,,,,85,,
TM195,22,Female,Single,36384,4,3,16,4,75,,,,,,,,,,,36384,75,,,,94,,
TM195,22,Female,Single,35247,3,3,14,3,75,,,,,,,,,,,35247,75,,,,56,,
TM195,23,Female,Single,34110,2,3,14,2,103,,,,,,,,,,,34110,103,,,,64,,
TM195,23,Female,Single,38658,4,3,16,4,113,,,,,,,,,,,38658,113,,,,53,,
TM195,24,Female,Single,42069,4,3,16,4,94,,,,,,,,,,,42069,94,,,,95,,
TM195,24,Female,Single,46617,4,3,16,4,75,,,,,,,,,,,46617,75,,,,95,,
TM195,26,Female,Single,36384,3,3,16,3,66,,,,,,,,,,,36384,66,,,,127,,
TM195,35,Female,Single,67083,3,3,18,3,85,,,,,,,,,,,67083,85,,,,106,,
TM195,19,Male,Single,31836,2,3,15,2,75,,,,,,,,,,,31836,75,,,,,,
TM195,19,Male,Single,32973,3,3,12,3,85,,,,,,,,,,,32973,85,,,,,,
TM195,21,Male,Single,32973,3,3,13,3,85,,,,,,,,,,,32973,85,,,,,,
TM195,22,Male,Single,36384,3,3,14,3,85,,,,,,,,,,,36384,85,,,,,,
TM195,23,Male,Single,38658,4,3,14,4,113,,,,,,,,,,,38658,113,,,,,,
TM195,23,Male,Single,40932,4,3,16,4,94,,,,,,,,,,,40932,94,,,,,,
TM195,24,Male,Single,45480,2,3,14,2,113,,,,,,,,,,,45480,113,,,,,,
TM195,25,Male,Single,43206,3,3,16,3,85,,,,,,,,,,,43206,85,,,,,,
TM195,26,Male,Single,50028,3,3,16,3,85,,,,,,,,,,,50028,85,,,,,,
TM195,27,Male,Single,54576,4,3,16,4,85,,,,,,,,,,,54576,85,,,,,,
TM195,28,Male,Single,52302,3,3,14,3,103,,,,,,,,,,,52302,103,,,,,,
TM195,28,Male,Single,54576,4,3,14,4,113,,,,,,,,,,,54576,113,,,,,,
TM195,30,Male,Single,54576,3,3,14,3,85,,,,,,,,,,,54576,85,,,,,,
TM195,36,Male,Single,44343,4,3,12,4,94,,,,,,,,,,,44343,94,,,,,,
TM195,38,Male,Single,52302,2,3,14,2,56,,,,,,,,,,,52302,56,,,,,,
TM195,26,Female,Partnered,44343,3,4,14,3,113,66,74,160,,188,94,,113,85,,44343,113,,,,,,
TM195,26,Male,Partnered,44343,4,4,16,4,132,85,106,,,95,53,,132,127,,44343,132,,,,,,
TM195,30,Male,Partnered,46617,4,4,14,4,141,47,85,,,106,106,,141,53,,46617,141,,,,,,
TM195,39,Male,Partnered,59124,4,4,16,4,132,66,,,,95,95,,132,140,,59124,132,,,,,,
TM195,32,Female,Single,46617,3,4,14,3,113,,,,,,,,,,,46617,113,,,,,,
TM195,44,Female,Single,57987,3,4,16,3,75,,,,,,,,,,,57987,75,,,,,,
TM195,18,Male,Single,29562,3,4,14,3,112,,,,,,,,,,,29562,112,,,,,,
TM195,21,Male,Single,35247,5,4,15,5,141,,,,,,,,,,,35247,141,,,,,,
TM195,25,Male,Single,40932,3,4,16,3,113,,,,,,,,,,,40932,113,,,,,,
TM195,24,Female,Partnered,44343,5,5,16,5,188,75,53,100,,75,85,,188,66,,44343,188,,,,,,
TM195,34,Male,Single,51165,4,5,16,4,169,,,,,,,,,,,51165,169,,,,,,
TM498,31,Female,Single,65220,2,1,18,2,21,,,,,,,,,,,65220,21,,21,38,66,212,200
TM498,23,Female,Partnered,43206,3,2,16,3,74,47,127,150,,113,169,,74,100,,43206,74,,,47,66,180,160
TM498,35,Female,Partnered,52302,3,2,14,3,53,66,127,120,,47,66,,53,113,,52302,53,,,47,94,180,180
TM498,21,Male,Partnered,34110,2,2,16,2,42,85,,,,85,106,,42,150,,34110,42,,,42,85,127,150
TM498,21,Male,Partnered,32973,2,2,12,2,53,75,,,,85,95,,53,180,,32973,53,,,53,56,127,120
TM498,25,Male,Partnered,52302,2,2,16,2,42,66,,,,180,200,,42,,,52302,42,,,42,66,74,180
TM498,35,Male,Partnered,53439,3,2,16,3,53,,,,,,180,,53,,,53439,53,,,47,106,100,200
TM498,45,Male,Partnered,54576,2,2,16,2,42,,,,,,160,,42,,,54576,42,,,38,85,112,169
TM498,23,Female,Single,40932,3,2,14,3,53,,,,,,,,,,,40932,53,,,42,64,200,100
TM498,24,Female,Single,40932,3,2,14,3,85,,,,,,,,,,,40932,85,,,64,85,,100
TM498,25,Female,Single,45480,2,2,14,2,42,,,,,,,,,,,45480,42,,,53,95,,160
TM498,35,Female,Single,50028,3,2,16,3,64,,,,,,,,,,,50028,64,,,,95,,150
TM498,27,Male,Single,45480,4,2,14,4,53,,,,,,,,,,,45480,53,,,,85,,180
TM498,20,Female,Partnered,34110,3,3,14,3,106,75,127,280,,94,47,,106,100,,34110,106,,,,64,,
TM498,25,Female,Partnered,45480,2,3,14,2,85,85,106,260,,38,85,,85,112,,45480,85,,,,170,,
TM498,25,Female,Partnered,47754,5,3,14,5,106,113,53,200,,85,94,,106,75,,47754,106,,,,53,,
TM498,26,Female,Partnered,45480,4,3,16,4,85,47,95,150,,66,75,,85,85,,45480,85,,,,95,,
TM498,29,Female,Partnered,51165,3,3,14,3,95,85,74,360,,94,56,,95,85,,51165,95,,,,95,,
TM498,31,Female,Partnered,51165,2,3,16,2,64,113,106,150,,85,75,,64,141,,51165,64,,,,95,,
TM498,33,Female,Partnered,50028,2,3,16,2,85,113,95,200,,85,132,,85,85,,50028,85,,,,95,,
TM498,33,Female,Partnered,53439,5,3,16,5,95,47,64,200,,56,66,,95,113,,53439,95,,,,106,,
TM498,34,Female,Partnered,64809,4,3,16,4,95,85,21,160,,75,103,,95,94,,64809,95,,,,95,,
TM498,37,Female,Partnered,48891,2,3,16,2,85,132,95,180,,66,94,,85,113,,48891,85,,,,64,,
TM498,38,Female,Partnered,62535,4,3,16,4,85,85,170,,,106,64,,85,85,,62535,85,,,,100,,
TM498,40,Female,Partnered,61398,3,3,16,3,85,66,85,,,212,53,,85,85,,61398,85,,,,75,,
TM498,23,Male,Partnered,36384,3,3,14,3,95,56,,,,100,42,,95,150,,36384,95,,,,100,,
TM498,23,Male,Partnered,38658,3,3,14,3,85,56,,,,200,64,,85,200,,38658,85,,,,75,,
TM498,23,Male,Partnered,45480,4,3,16,4,127,75,,,,200,106,,127,200,,45480,127,,,,85,,
TM498,23,Male,Partnered,45480,3,3,16,3,64,132,,,,100,120,,64,160,,45480,64,,,,85,,
TM498,25,Male,Partnered,45480,4,3,14,4,170,103,,,,280,140,,170,,,45480,170,,,,85,,
TM498,25,Male,Partnered,50028,2,3,16,2,53,75,,,,,100,,53,,,50028,53,,,,113,,
TM498,31,Male,Partnered,52302,3,3,16,3,95,47,,,,,80,,95,,,52302,95,,,,94,,
TM498,32,Male,Partnered,53439,3,3,16,3,95,94,,,,,160,,95,,,53439,95,,,,113,,
TM498,33,Male,Partnered,51165,3,3,16,3,95,,,,,,160,,95,,,51165,95,,,,85,,
TM498,35,Male,Partnered,53439,3,3,16,3,95,,,,,,240,,95,,,53439,95,,,,85,,
TM498,38,Male,Partnered,59124,3,3,16,3,106,,,,,,170,,106,,,59124,106,,,,85,,
TM498,40,Male,Partnered,64809,3,3,16,3,95,,,,,,180,,95,,,64809,95,,,,103,,
TM498,48,Male,Partnered,57987,2,3,16,2,64,,,,,,100,,64,,,57987,64,,,,113,,
TM498,23,Female,Single,45480,3,3,16,3,95,,,,,,,,,,,45480,95,,,,127,,
TM498,24,Female,Single,50028,3,3,16,3,106,,,,,,,,,,,50028,106,,,,85,,
TM498,25,Female,Single,43206,2,3,14,2,64,,,,,,,,,,,43206,64,,,,106,,
TM498,30,Female,Single,57987,3,3,14,3,74,,,,,,,,,,,57987,74,,,,100,,
TM498,30,Female,Single,46617,4,3,13,4,106,,,,,,,,,,,46617,106,,,,,,
TM498,40,Female,Single,57987,3,3,16,3,85,,,,,,,,,,,57987,85,,,,,,
TM498,19,Male,Single,31836,3,3,14,3,64,,Income,,,,,,,,,31836,64,,,,,,
TM498,20,Male,Single,32973,2,3,14,2,53,,,,,,,,,,,32973,53,,,,,,
TM498,20,Male,Single,38658,3,3,14,3,95,,,,,,,,,,,38658,95,,,,,,
TM498,25,Male,Single,45480,3,3,14,3,95,,,,,,,,,,,45480,95,,,,,,
TM498,25,Male,Single,48891,4,3,14,4,127,,,,,,,,,,,48891,127,,,,,,
TM498,26,Male,Single,51165,4,3,16,4,106,,,,,,,,,,,51165,106,,,,,,
TM498,32,Male,Single,60261,4,3,16,4,127,,,,,,,,,,,60261,127,,,,,,
TM498,34,Male,Single,67083,3,3,15,3,85,,,,,,,,,,,67083,85,,,,,,
TM498,21,Female,Partnered,34110,5,4,14,5,212,56,85,160,,47,85,,212,200,,34110,212,,,,,,
TM498,25,Male,Partnered,43206,3,4,14,3,106,66,,,,200,100,,106,,,43206,106,,,,,,
TM498,33,Male,Partnered,53439,4,4,13,4,170,66,,,,,120,,170,,,53439,170,,,,,,
TM498,34,Male,Partnered,59124,3,4,16,3,85,,,,,,100,,85,,,59124,85,,,,,,
TM498,25,Female,Single,43206,3,4,14,3,127,,,,,,,,,,,43206,127,,,,,,
TM498,26,Female,Single,50028,4,4,16,4,127,,,,,,,,,,,50028,127,,,,,,
TM498,33,Female,Single,47754,3,4,18,3,74,,,,,,,,,,,47754,74,,,,,,
TM498,24,Male,Single,48891,3,4,14,3,106,,,,,,,,,,,48891,106,,,,,,
TM798,25,Male,Partnered,64741,4,3,18,4,100,,,,,,180,,100,,,64741,100,,,,85,,
TM798,26,Female,Single,69721,4,3,21,4,100,,,,,,,,,,,69721,100,,,,,,
TM798,22,Male,Single,48658,4,3,14,4,106,,,,,,,,,,,48658,106,,,,,,
TM798,27,Male,Single,88396,4,3,18,4,100,,,,,,,,,,,88396,100,,,,,,
TM798,25,Male,Partnered,62251,4,4,16,4,160,,,,,,150,,160,,,62251,160,,,,,,
TM798,25,Male,Partnered,70966,6,4,18,6,180,,,,,,300,,180,,,70966,180,,,,,,
TM798,26,Male,Partnered,64741,5,4,16,5,180,,,,,,260,,180,,,64741,180,,,,,,
TM798,27,Male,Partnered,90886,4,4,21,4,100,,,,,,360,,100,,,90886,100,,,,,,
TM798,30,Male,Partnered,103336,5,4,18,5,160,,,,,,200,,160,,,103336,160,,,,,,
TM798,23,Female,Single,53536,5,4,18,5,100,,,,,,,,,,,53536,100,,,,,,
TM798,42,Male,Single,89641,5,4,18,5,200,,,,,,,,,,,89641,200,,,,,,
TM798,25,Female,Partnered,61006,5,5,18,5,200,85,95,,,95,95,,200,85,,61006,200,,,,,,
TM798,28,Female,Partnered,92131,6,5,18,6,180,56,95,,,74,42,,180,103,,92131,180,,,,,,
TM798,30,Female,Partnered,90886,6,5,16,6,280,56,74,,,53,53,,280,113,,90886,280,,,,,,
TM798,33,Female,Partnered,95866,4,5,18,4,200,66,95,,,85,95,,200,85,,95866,200,,,,,,
TM798,24,Male,Partnered,57271,4,5,18,4,80,,,,,,100,,80,,,57271,80,,,,,,
TM798,25,Male,Partnered,49801,4,5,16,4,120,,,,,,180,,120,,,49801,120,,,,,,
TM798,25,Male,Partnered,75946,6,5,18,6,240,,,,,,160,,240,,,75946,240,,,,,,
TM798,25,Male,Partnered,74701,4,5,20,4,170,,,,,,150,,170,,,74701,170,,,,,,
TM798,27,Male,Partnered,83416,4,5,16,4,160,,,,,,150,,160,,,83416,160,,,,,,
TM798,28,Male,Partnered,77191,7,5,18,7,180,,,,,,150,,180,,,77191,180,,,,,,
TM798,29,Male,Partnered,85906,7,5,14,7,300,,,,,,200,,300,,,85906,300,,,,,,
TM798,30,Male,Partnered,99601,5,5,18,5,150,,,,,,160,,150,,,99601,150,,,,,,
TM798,31,Male,Partnered,89641,6,5,16,6,260,,,,,,120,,260,,,89641,260,,,,,,
TM798,35,Male,Partnered,92131,4,5,16,4,360,,,,,,180,,360,,,92131,360,,,,,,
TM798,38,Male,Partnered,104581,5,5,18,5,150,,,,,,,,150,,,104581,150,,,,,,
TM798,47,Male,Partnered,104581,4,5,18,4,120,,,,,,,,120,,,104581,120,,,,,,
TM798,48,Male,Partnered,95508,4,5,18,4,180,,,,,,,,180,,,95508,180,,,,,,
TM798,24,Female,Single,52291,5,5,16,5,200,,,,,,,,,,,52291,200,,,,,,
TM798,22,Male,Single,54781,3,5,16,3,120,,,,,,,,,,,54781,120,,,,,,
TM798,22,Male,Single,48556,4,5,18,4,200,,,,,,,,,,,48556,200,,,,,,
TM798,23,Male,Single,58516,4,5,16,4,140,,,,,,,,,,,58516,140,,,,,,
TM798,23,Male,Single,48556,4,5,16,4,100,,,,,,,,,,,48556,100,,,,,,
TM798,24,Male,Single,61006,4,5,16,4,100,,,,,,,,,,,61006,100,,,,,,
TM798,24,Male,Single,49801,5,5,16,5,160,,,,,,,,,,,49801,160,,,,,,
TM798,28,Male,Single,88396,6,5,18,6,150,,,,,,,,,,,88396,150,,,,,,
TM798,29,Male,Single,52290,5,5,18,5,180,,,,,,,,,,,52290,180,,,,,,
TM798,34,Male,Single,92131,5,5,16,5,150,,Education correlation,,,,,,,,,92131,150,,,,,,
TM798,40,Male,Single,83416,6,5,21,6,200,,#REF!,,,,,,,,,83416,200,,,,,,
TM798,45,Male,Single,90886,5,5,16,5,160,,,,,,,,,,,90886,160,,,,,,
